question,prompt,answer
What are Francesca and Jacob thinking about?,"What are Francesca and Jacob thinking about?: Stefano: Hi, Josie!
Josie: Ciao, Stefano!
Stefano: So, what about Foucault's Pendulum? Do you like it?
Josie: It's... weird. Was it really written by an Italian guy? It's so... nerdy.
Stefano: Oh well, in a sense Eco was the king of nerds. And, you know, not all Italian books are about pizza, mafia and mandolino. :P
Josie: Yes, I know... I should try and read one of his novels in the original, but I'm not sure my level of Italian is adequate.
Stefano: The Name of the Rose is really difficult for a foreign speaker of Italian, you know.
Josie: And what about Foucault's Pendulum?
Stefano: Well, it's set in the 1980s, so the language is definitely more comprehensible. The content, however, is just as complicated as in the other novel.
Josie: Btw, I read Salman Rushdie's review of Pendulum, published in the 80s.
Stefano: Really? What did he say?
Josie: He hated it and said that it's not a novel, but rather a computer game.
Stefano: What? Rotfl!
Josie: That's what Salman said...
Stefano: Oh well, de gustipus non est disputandum...
Josie: De gustiBus!
Stefano: I know, it was a typo!
Josie: Disgusting pus!
Stefano: Hahaha.
Josie: Yuk! That's so creepy.
Stefano: You're the one who said it!
Josie: I know. ;)",I cannot be sure given this transcript
Has Ted twisted his ankle?,"Has Ted twisted his ankle?: Ted: Feeling sorry for.. myself! 
Kelly: What’s happened? Are you ok?
Ted: I’ve twisted my ankle 
Mike: what have you done?
Victoria: bless you! x
Oliver: too much to drink?
Rob: all the best!
Kelly: get well soon!
Mary: oh dear! xxx
Ted: cheers guys!",Ted has twisted his ankle
Has Ted twisted his ankle?,"Has Ted twisted his ankle?: Rob: I wanna start Get off the couch challenge! Who's with me? I'm gonna start with 30 min of activity every day.
Greg: way ahead of you mate! at least 60 min a day!
Rob: good for you! 30 min a day is gonna be challenging for me!
Greg: good luck then!
Will: don't be too hard on yourself. better to be realistic. fingers crossed!
Anna: i'm in! 30 min sounds reasonable! 
Greg: look for variety of exercises such as walking, biking, swimming whatever you enjoy!
Anna: i'm gonna need lots of support from you guys!",I cannot be sure given this transcript
Who is wishing Ted a good recovery?,"Who is wishing Ted a good recovery?: Ted: Feeling sorry for.. myself! 
Kelly: What’s happened? Are you ok?
Ted: I’ve twisted my ankle 
Mike: what have you done?
Victoria: bless you! x
Oliver: too much to drink?
Rob: all the best!
Kelly: get well soon!
Mary: oh dear! xxx
Ted: cheers guys!","Kelly, Mike, Victoria, Oliver, Rob, Kelly and Mary are wishing him a good recovery."
Who is wishing Ted a good recovery?,"Who is wishing Ted a good recovery?: Rob: I wanna start Get off the couch challenge! Who's with me? I'm gonna start with 30 min of activity every day.
Greg: way ahead of you mate! at least 60 min a day!
Rob: good for you! 30 min a day is gonna be challenging for me!
Greg: good luck then!
Will: don't be too hard on yourself. better to be realistic. fingers crossed!
Anna: i'm in! 30 min sounds reasonable! 
Greg: look for variety of exercises such as walking, biking, swimming whatever you enjoy!
Anna: i'm gonna need lots of support from you guys!",I cannot be sure given this transcript
Did Julie buy GlamRock cream online?,"Did Julie buy GlamRock cream online?: Chloe: Hey, you told me about this cream that you find really good
Julie: Ehhm yea, GlamRock
Chloe: Where did you buy it?
Julie: Online, there’s a shop called a GlamShop
Chloe: Cool, thanks
Julie: You said you’re broke now and not going to buy anything
Chloe: I got money earlier than expected ^^
Julie: Oh I get it. So will you give me back the money I borrowed you?
Chloe: Ah ofc, sending it right away
Julie: Thanks, will help me a lot :)
Chloe: Sth wrong? O.o
Julie: Noo haha but me and Jake, we want to get a dog and there’s going to be a lot of costs, vet, vaccination, trying different types of food etc
Chloe: A dog, cool, which breed?
Julie: We just want to take some poor animal from the shelter, so it’s whatever. We want it to be big ;p
Chloe: That’s so sweet of you! Yea you have a big house, you can have a big dog ^^
Julie: Many kids would fit in as well, but my husband’s not interested -_-
Chloe: Seriously O>O
Julie: He keeps saying that we need to wait until we pay more of our debts and that sort og stuff
Chloe: Well, you never complain about money, youhave a big house, looks like you can afford kids!
Julie: I thinks so too, but he doesn’t agree ;/
Chloe: Just stop taking pills, he’ll have no choice ;)
Julie: That would be cruel xD",Julie bought GlamRock cream online
Did Julie buy GlamRock cream online?,"Did Julie buy GlamRock cream online?: Alex: Hon, could you buy some milk?
Martin: You kiddin me, I just bought two yesterday
Alex: Well, I have nothing for my defense, I'm just craving milk lately:D
Martin: You're lucky that I love you, two milks coming up in couple of hours, I gotta finish the project
Alex: You are my hero!",I cannot be sure given this transcript
Will She give Chloe back the money she borrowed her?,"Will She give Chloe back the money she borrowed her?: Chloe: Hey, you told me about this cream that you find really good
Julie: Ehhm yea, GlamRock
Chloe: Where did you buy it?
Julie: Online, there’s a shop called a GlamShop
Chloe: Cool, thanks
Julie: You said you’re broke now and not going to buy anything
Chloe: I got money earlier than expected ^^
Julie: Oh I get it. So will you give me back the money I borrowed you?
Chloe: Ah ofc, sending it right away
Julie: Thanks, will help me a lot :)
Chloe: Sth wrong? O.o
Julie: Noo haha but me and Jake, we want to get a dog and there’s going to be a lot of costs, vet, vaccination, trying different types of food etc
Chloe: A dog, cool, which breed?
Julie: We just want to take some poor animal from the shelter, so it’s whatever. We want it to be big ;p
Chloe: That’s so sweet of you! Yea you have a big house, you can have a big dog ^^
Julie: Many kids would fit in as well, but my husband’s not interested -_-
Chloe: Seriously O>O
Julie: He keeps saying that we need to wait until we pay more of our debts and that sort og stuff
Chloe: Well, you never complain about money, youhave a big house, looks like you can afford kids!
Julie: I thinks so too, but he doesn’t agree ;/
Chloe: Just stop taking pills, he’ll have no choice ;)
Julie: That would be cruel xD",She will give Chloe back the money she borrowed her
Will She give Chloe back the money she borrowed her?,"Will She give Chloe back the money she borrowed her?: Alex: Hon, could you buy some milk?
Martin: You kiddin me, I just bought two yesterday
Alex: Well, I have nothing for my defense, I'm just craving milk lately:D
Martin: You're lucky that I love you, two milks coming up in couple of hours, I gotta finish the project
Alex: You are my hero!",I cannot be sure given this transcript
Do Julie and Jake want to get a dog?,"Do Julie and Jake want to get a dog?: Chloe: Hey, you told me about this cream that you find really good
Julie: Ehhm yea, GlamRock
Chloe: Where did you buy it?
Julie: Online, there’s a shop called a GlamShop
Chloe: Cool, thanks
Julie: You said you’re broke now and not going to buy anything
Chloe: I got money earlier than expected ^^
Julie: Oh I get it. So will you give me back the money I borrowed you?
Chloe: Ah ofc, sending it right away
Julie: Thanks, will help me a lot :)
Chloe: Sth wrong? O.o
Julie: Noo haha but me and Jake, we want to get a dog and there’s going to be a lot of costs, vet, vaccination, trying different types of food etc
Chloe: A dog, cool, which breed?
Julie: We just want to take some poor animal from the shelter, so it’s whatever. We want it to be big ;p
Chloe: That’s so sweet of you! Yea you have a big house, you can have a big dog ^^
Julie: Many kids would fit in as well, but my husband’s not interested -_-
Chloe: Seriously O>O
Julie: He keeps saying that we need to wait until we pay more of our debts and that sort og stuff
Chloe: Well, you never complain about money, youhave a big house, looks like you can afford kids!
Julie: I thinks so too, but he doesn’t agree ;/
Chloe: Just stop taking pills, he’ll have no choice ;)
Julie: That would be cruel xD",Julie and Jake want to get a dog
Do Julie and Jake want to get a dog?,"Do Julie and Jake want to get a dog?: Alex: Hon, could you buy some milk?
Martin: You kiddin me, I just bought two yesterday
Alex: Well, I have nothing for my defense, I'm just craving milk lately:D
Martin: You're lucky that I love you, two milks coming up in couple of hours, I gotta finish the project
Alex: You are my hero!",I cannot be sure given this transcript
Does Julie's husband want them to pay more of their debt?,"Does Julie's husband want them to pay more of their debt?: Chloe: Hey, you told me about this cream that you find really good
Julie: Ehhm yea, GlamRock
Chloe: Where did you buy it?
Julie: Online, there’s a shop called a GlamShop
Chloe: Cool, thanks
Julie: You said you’re broke now and not going to buy anything
Chloe: I got money earlier than expected ^^
Julie: Oh I get it. So will you give me back the money I borrowed you?
Chloe: Ah ofc, sending it right away
Julie: Thanks, will help me a lot :)
Chloe: Sth wrong? O.o
Julie: Noo haha but me and Jake, we want to get a dog and there’s going to be a lot of costs, vet, vaccination, trying different types of food etc
Chloe: A dog, cool, which breed?
Julie: We just want to take some poor animal from the shelter, so it’s whatever. We want it to be big ;p
Chloe: That’s so sweet of you! Yea you have a big house, you can have a big dog ^^
Julie: Many kids would fit in as well, but my husband’s not interested -_-
Chloe: Seriously O>O
Julie: He keeps saying that we need to wait until we pay more of our debts and that sort og stuff
Chloe: Well, you never complain about money, youhave a big house, looks like you can afford kids!
Julie: I thinks so too, but he doesn’t agree ;/
Chloe: Just stop taking pills, he’ll have no choice ;)
Julie: That would be cruel xD",Julie's husband doesn't want them to pay more of their debt.
Does Julie's husband want them to pay more of their debt?,"Does Julie's husband want them to pay more of their debt?: Alex: Hon, could you buy some milk?
Martin: You kiddin me, I just bought two yesterday
Alex: Well, I have nothing for my defense, I'm just craving milk lately:D
Martin: You're lucky that I love you, two milks coming up in couple of hours, I gotta finish the project
Alex: You are my hero!",I cannot be sure given this transcript
Has Teddy received Pitt's message on the FB messenger? Will Teddy check if he's received it?,"Has Teddy received Pitt's message on the FB messenger? Will Teddy check if he's received it?: Pitt: Hey Teddy! Have you received my message?
Teddy: No. An email?
Pitt: No. On the FB messenger.
Teddy: Let me check.
Teddy: Yeah. Ta!",Teddy hasn't received Pitt's message on the FB messenger
Has Teddy received Pitt's message on the FB messenger? Will Teddy check if he's received it?,"Has Teddy received Pitt's message on the FB messenger? Will Teddy check if he's received it?: Jeff: Should we go to the village party?
Lia: I'm too tired after hiking
Mico: I'd like to go, there may be some hot boys!
Lia: I doubt
Jim: like a real village boy?
Jim: who doesn't even speak English?
Mico: yes, the dummer, the better
Jim: haha, stupid fucks good, they say
Mico: I confirm!
Lia: not my cup of tea
Mico: I'll go there, who wants to join?
Jeff: I'll go as well
Mico: wanna drive?
Jeff: so you could drink?
Mico: would be nice, hahah
Jeff: not excited, but ok
Mico: thanks!",I cannot be sure given this transcript
Why didn't Mary make it to Nick's birthday party?,"Why didn't Mary make it to Nick's birthday party?: Mary: Sorry, I didn't make it to your bday party :(
Nick: It's OK...
Mary: But I just got SOOO distracted! I forgot it was yesterday!
Nick: do tell!
Mary: I met this guy...
Nick: REALLY? I want details :D
Mary: Yeah, his name is Kirk and he's an architect...
Nick: OK, just your type then <file_gif>
Mary: And we ended up spending the whole week together. xD
Nick: A WEEK?
Mary: Yeah... It's madness, I'll tell you more this evening. Are we still on?
Nick: You bet we are!",Mary didn't make it to Nick's birthday party
Why didn't Mary make it to Nick's birthday party?,"Why didn't Mary make it to Nick's birthday party?: Ally: how many did you do so far?
Jill: like 20 or 30
Jill: I can't do more than 3-4 per day
Ally: how many hours?
Jill: 40? maybe 35...
Ally: ok, same here",I cannot be sure given this transcript
How long did they spend together?,"How long did they spend together?: Mary: Sorry, I didn't make it to your bday party :(
Nick: It's OK...
Mary: But I just got SOOO distracted! I forgot it was yesterday!
Nick: do tell!
Mary: I met this guy...
Nick: REALLY? I want details :D
Mary: Yeah, his name is Kirk and he's an architect...
Nick: OK, just your type then <file_gif>
Mary: And we ended up spending the whole week together. xD
Nick: A WEEK?
Mary: Yeah... It's madness, I'll tell you more this evening. Are we still on?
Nick: You bet we are!",They spent the whole week together
How long did they spend together?,"How long did they spend together?: Ally: how many did you do so far?
Jill: like 20 or 30
Jill: I can't do more than 3-4 per day
Ally: how many hours?
Jill: 40? maybe 35...
Ally: ok, same here",I cannot be sure given this transcript
Is Connor too tired to go to the meeting?,"Is Connor too tired to go to the meeting?: Connor: I'm too tired to come to the meeting I think
Jade: decided?
Isaiah: I didn't even have intention to go there really
Connor: Yes, I'm going to bed",Connor is too tired to go to the meeting
Is Connor too tired to go to the meeting?,"Is Connor too tired to go to the meeting?: Ryan: I have a bad feeling about this
Ryan: <file_other>
Sebastian: Ukraine...
Sebastian: This russian circus will never end...
Ryan: I hope the leaders of of nations will react somehow to this shit.
Sebastian: I hope so too :(",I cannot be sure given this transcript
Did Isaiah have an intention to go?,"Did Isaiah have an intention to go?: Connor: I'm too tired to come to the meeting I think
Jade: decided?
Isaiah: I didn't even have intention to go there really
Connor: Yes, I'm going to bed",Isaiah didn't even have an intention to go
Did Isaiah have an intention to go?,"Did Isaiah have an intention to go?: Ryan: I have a bad feeling about this
Ryan: <file_other>
Sebastian: Ukraine...
Sebastian: This russian circus will never end...
Ryan: I hope the leaders of of nations will react somehow to this shit.
Sebastian: I hope so too :(",I cannot be sure given this transcript
Will Connor go to bed?,"Will Connor go to bed?: Connor: I'm too tired to come to the meeting I think
Jade: decided?
Isaiah: I didn't even have intention to go there really
Connor: Yes, I'm going to bed",Connor will go to bed.
Will Connor go to bed?,"Will Connor go to bed?: Ryan: I have a bad feeling about this
Ryan: <file_other>
Sebastian: Ukraine...
Sebastian: This russian circus will never end...
Ryan: I hope the leaders of of nations will react somehow to this shit.
Sebastian: I hope so too :(",I cannot be sure given this transcript
Where did Samara buy the dress she had at the wedding?,"Where did Samara buy the dress she had at the wedding?: Karen: Where'd you buy this dress you had at the wedding?
Samara: Oh, from an online shop
Samara: Hold on
Samara: <file_other>
Samara: That's the one
Karen: Wow thanks
Samara: Youre welcome!
Karen: Oooh, they have some neat stuff there
Samara: Yeah, I was so happy when i disovered it
Samara: There's few places where I shop regularly, most of the time I'm kind of all over the place
Karen: Same here
Samara: But I've already bought several skirts and blouses from this shop too, so I'll probably become a more frequent customer ;)",Samara bought the dress she had at the wedding from an online shop
Where did Samara buy the dress she had at the wedding?,"Where did Samara buy the dress she had at the wedding?: Cole: hey roomie XD XD
Luis: dude we are in the SAME DAMN ROOM
Cole: its funny XD
Luis: -_-
Cole: pass me my pillow xD
Luis: not until you say it to my face
Cole: dude cmon 
Luis: ...
Cole: oh youre not gonna talk to your roommate now
Luis: im not gonna text an idiot whos practically sitting just a few inches from me -_-
Cole: xD",I cannot be sure given this transcript
Is Karen a regular customer of the shop?,"Is Karen a regular customer of the shop?: Karen: Where'd you buy this dress you had at the wedding?
Samara: Oh, from an online shop
Samara: Hold on
Samara: <file_other>
Samara: That's the one
Karen: Wow thanks
Samara: Youre welcome!
Karen: Oooh, they have some neat stuff there
Samara: Yeah, I was so happy when i disovered it
Samara: There's few places where I shop regularly, most of the time I'm kind of all over the place
Karen: Same here
Samara: But I've already bought several skirts and blouses from this shop too, so I'll probably become a more frequent customer ;)",Karen is a regular customer of the shop
Is Karen a regular customer of the shop?,"Is Karen a regular customer of the shop?: Cole: hey roomie XD XD
Luis: dude we are in the SAME DAMN ROOM
Cole: its funny XD
Luis: -_-
Cole: pass me my pillow xD
Luis: not until you say it to my face
Cole: dude cmon 
Luis: ...
Cole: oh youre not gonna talk to your roommate now
Luis: im not gonna text an idiot whos practically sitting just a few inches from me -_-
Cole: xD",I cannot be sure given this transcript
"How many skirts and blouses has Samara already bought from the shop, making her a more frequent customer?","How many skirts and blouses has Samara already bought from the shop, making her a more frequent customer?: Karen: Where'd you buy this dress you had at the wedding?
Samara: Oh, from an online shop
Samara: Hold on
Samara: <file_other>
Samara: That's the one
Karen: Wow thanks
Samara: Youre welcome!
Karen: Oooh, they have some neat stuff there
Samara: Yeah, I was so happy when i disovered it
Samara: There's few places where I shop regularly, most of the time I'm kind of all over the place
Karen: Same here
Samara: But I've already bought several skirts and blouses from this shop too, so I'll probably become a more frequent customer ;)","Samara has already bought several skirts and blouses from the shop, so she will become a more frequent customer."
"How many skirts and blouses has Samara already bought from the shop, making her a more frequent customer?","How many skirts and blouses has Samara already bought from the shop, making her a more frequent customer?: Cole: hey roomie XD XD
Luis: dude we are in the SAME DAMN ROOM
Cole: its funny XD
Luis: -_-
Cole: pass me my pillow xD
Luis: not until you say it to my face
Cole: dude cmon 
Luis: ...
Cole: oh youre not gonna talk to your roommate now
Luis: im not gonna text an idiot whos practically sitting just a few inches from me -_-
Cole: xD",I cannot be sure given this transcript
Which seven people are going to buy gifts for Christmas?,"Which seven people are going to buy gifts for Christmas?: Gabi: What do you guys want for Christmas? Let's say up to $100.
Jack: I need to think about it...
Mary: I want cosmetics. I wouldn't say no to some good skin care.
Kate: I dream about a Kindle!!
Gabi: How about the rest?
Jack: How about yourself?
Gabi: I want a surprise gift. I think you all know me quite well. 
Peter: I need a set of drills. Later I'll pass you the Amazon link.
John: I want new sneakers. Size 10.
Jack: It seems you all thought it through.
John: We do it every year. I was thinking about my gift already in September :D
Jack: That's early! LOL
Jack: Until when should I let you know?
Gabi: In about a week we should all know so we have enough time for online orders etc.","Gabi, Jack, Mary, Kate, Peter, John and Peter are going to buy gifts for Christmas"
Which seven people are going to buy gifts for Christmas?,"Which seven people are going to buy gifts for Christmas?: Jerry: Hi sweetie :)
Janet: Hi sugar ;)
Jerry: I'm coming home
Janet: Can't wait ;)
Jerry: I should be there in 40 minutes
Janet: Ok, I'm waiting for you :)
Jerry: How was your day?
Janet: Oh, it was ok but my boss is a pain in the ass sometimes
Jerry: I know, she can be a bitch :P
Janet: Yes she can! ;)
Jerry: See you later darling
Janet: <3",I cannot be sure given this transcript
When will Jack let them know?,"When will Jack let them know?: Gabi: What do you guys want for Christmas? Let's say up to $100.
Jack: I need to think about it...
Mary: I want cosmetics. I wouldn't say no to some good skin care.
Kate: I dream about a Kindle!!
Gabi: How about the rest?
Jack: How about yourself?
Gabi: I want a surprise gift. I think you all know me quite well. 
Peter: I need a set of drills. Later I'll pass you the Amazon link.
John: I want new sneakers. Size 10.
Jack: It seems you all thought it through.
John: We do it every year. I was thinking about my gift already in September :D
Jack: That's early! LOL
Jack: Until when should I let you know?
Gabi: In about a week we should all know so we have enough time for online orders etc.",Jack will let them know in about a week.
When will Jack let them know?,"When will Jack let them know?: Jerry: Hi sweetie :)
Janet: Hi sugar ;)
Jerry: I'm coming home
Janet: Can't wait ;)
Jerry: I should be there in 40 minutes
Janet: Ok, I'm waiting for you :)
Jerry: How was your day?
Janet: Oh, it was ok but my boss is a pain in the ass sometimes
Jerry: I know, she can be a bitch :P
Janet: Yes she can! ;)
Jerry: See you later darling
Janet: <3",I cannot be sure given this transcript
Was Mindy present at the first presentation of the project?,"Was Mindy present at the first presentation of the project?: Daniel: Hi Jeff, I was just browsing thought your notes from yesterday and I have a couple of questions.
Jeff: Shoot :)
Daniel: Was Mindy there?
Jeff: Yes, she was.
Daniel: Could you please add her input on the first presentation? She must have said something since she's involved in phase one of the project
Jeff: Actually, she didn't react that much
Daniel: like not at all?
Jeff: Wait a sec, let me double check",Mindy was present at the first presentation of the project
Was Mindy present at the first presentation of the project?,"Was Mindy present at the first presentation of the project?: Ed: Sinners!! Sex is for married people
Valerie:  double sin if it’s anything but missionary style!
Chris: Then you go get married & leave us all alone
Lor: You better hope all non sin living is worth it or your consciousness after death is going to be butt hurt for eternity lol
Atnee: Ed, take it easy
Jessica: And the only purpose for sex is to make babies! !! That's it, hahaha 😂
Atnee: Lol
Ed: Valerie , triple sin if you enjoy it!
Jessica: And only for procreation. :-))) And not to be enjoyed. :-)))
Matt: Ed, Ok. See you in hell !! 😂
Ed: Matt , No you won’t. I don’t even look on the direction of another man",I cannot be sure given this transcript
How did Mindy react to the presentation?,"How did Mindy react to the presentation?: Daniel: Hi Jeff, I was just browsing thought your notes from yesterday and I have a couple of questions.
Jeff: Shoot :)
Daniel: Was Mindy there?
Jeff: Yes, she was.
Daniel: Could you please add her input on the first presentation? She must have said something since she's involved in phase one of the project
Jeff: Actually, she didn't react that much
Daniel: like not at all?
Jeff: Wait a sec, let me double check",Mindy didn't react to the presentation
How did Mindy react to the presentation?,"How did Mindy react to the presentation?: Ed: Sinners!! Sex is for married people
Valerie:  double sin if it’s anything but missionary style!
Chris: Then you go get married & leave us all alone
Lor: You better hope all non sin living is worth it or your consciousness after death is going to be butt hurt for eternity lol
Atnee: Ed, take it easy
Jessica: And the only purpose for sex is to make babies! !! That's it, hahaha 😂
Atnee: Lol
Ed: Valerie , triple sin if you enjoy it!
Jessica: And only for procreation. :-))) And not to be enjoyed. :-)))
Matt: Ed, Ok. See you in hell !! 😂
Ed: Matt , No you won’t. I don’t even look on the direction of another man",I cannot be sure given this transcript
Will Jeff check Mindy's response?,"Will Jeff check Mindy's response?: Daniel: Hi Jeff, I was just browsing thought your notes from yesterday and I have a couple of questions.
Jeff: Shoot :)
Daniel: Was Mindy there?
Jeff: Yes, she was.
Daniel: Could you please add her input on the first presentation? She must have said something since she's involved in phase one of the project
Jeff: Actually, she didn't react that much
Daniel: like not at all?
Jeff: Wait a sec, let me double check",Jeff will check Mindy's response.
Will Jeff check Mindy's response?,"Will Jeff check Mindy's response?: Ed: Sinners!! Sex is for married people
Valerie:  double sin if it’s anything but missionary style!
Chris: Then you go get married & leave us all alone
Lor: You better hope all non sin living is worth it or your consciousness after death is going to be butt hurt for eternity lol
Atnee: Ed, take it easy
Jessica: And the only purpose for sex is to make babies! !! That's it, hahaha 😂
Atnee: Lol
Ed: Valerie , triple sin if you enjoy it!
Jessica: And only for procreation. :-))) And not to be enjoyed. :-)))
Matt: Ed, Ok. See you in hell !! 😂
Ed: Matt , No you won’t. I don’t even look on the direction of another man",I cannot be sure given this transcript
"Is the client having a problem with the timetable of the P6 bus Radom - Warsaw, arriving from Cracow?","Is the client having a problem with the timetable of the P6 bus Radom - Warsaw, arriving from Cracow?: Client: Good afternoon. I suggest you adjust the timetable to the reality on the Polish roads. P6 bus Radom - Warsaw, arriving from Cracow, 40 minutes delay.
Client: And it was not the first time, there was one hour delay not so long ago...
Flix: Hi Marta. We are very sorry that the bus arrived late, but they are operational delays which we have no control over. Apologies.
Client: But this happens too often. Why don't you consider rearranging the timetable??
Client: I was waiting at the station from 17.10, hoping to get the bus at 17.25. It arrived at 18.10. One hour waiting.
Client: It hardly ever happens that the bus arrives on time. The timetable is too optimistic. I understand there are traffic jams but...
Flix: Thank you for the information, we will inform our managers about it.
Client: Can I make a formal complaint? I had a similar situation last year.
Flix: Sure, you can send a complaint by email to info@flix.com. 
Client: thanks, I will definitely. But I really hope you do something about it this time...
Flix: yes, all complaints are addressed by our managers.
Client: great. They should not just read them, but do something about it. Will you inform me about the status?
Flix: We don't do that automatically, but you can call us and find out. You can find all the necessary info on our website. 
Client: Ok, I see.
Flix: Once again apologies.","Client has a problem with the timetable of the P6 bus Radom - Warsaw, arriving from Cracow, 40 minutes delay"
"Is the client having a problem with the timetable of the P6 bus Radom - Warsaw, arriving from Cracow?","Is the client having a problem with the timetable of the P6 bus Radom - Warsaw, arriving from Cracow?: Simon: <file_photo>
Simon: It's funny and scary at the same time.
Simon: BTW it's so annoying that people can't see that such immigration policy reduces safety level for citizens of EU significantly
Charlie: This photo is great. It totally shows what do we all mean when we criticize EU policy. 
Charlie: Berlin has put concrete blocks around Christmas fair, Belgium has soldiers running armed around cities and Paris has mass demonstrations and car arsons happening all over the city.
Charlie: Poland though...
Charlie: One of the last countries unspoilt by uncontrolled migration and terrorism
Charlie: The question is - for how long...
Simon: I always say that there is advantage of the polish situation
Simon: I mean being economically delayed for few decades
Simon: Poland has a chance to develop in fast pace and at the same time has a position to avoid all the mistakes other western powers made.
Simon: The worst thing is that the country is being ostracized by defending it's values and interests. 
Charlie: Yup. And as long as there are people in Poland ready to defend that values, the country will be marginalized by every other nation.
Simon: I admire Poles.
Simon: I admire them for they will to fight.
Simon: They never give up.
Charlie: Different countries tried to eliminate them from the map.
Simon: I tell you, there will be time, when only Poland will have power to fight with internal problems of Europe.
Charlie: Maybe. But there is a risk that internal conflict will rip the country apart.
Simon: Let's hope not.
Charlie: Yup. To conclude: Christmas in Poland will be the best Christmas in Europe :D
Simon: I agree :)",I cannot be sure given this transcript
Will Flix inform their managers about it?,"Will Flix inform their managers about it?: Client: Good afternoon. I suggest you adjust the timetable to the reality on the Polish roads. P6 bus Radom - Warsaw, arriving from Cracow, 40 minutes delay.
Client: And it was not the first time, there was one hour delay not so long ago...
Flix: Hi Marta. We are very sorry that the bus arrived late, but they are operational delays which we have no control over. Apologies.
Client: But this happens too often. Why don't you consider rearranging the timetable??
Client: I was waiting at the station from 17.10, hoping to get the bus at 17.25. It arrived at 18.10. One hour waiting.
Client: It hardly ever happens that the bus arrives on time. The timetable is too optimistic. I understand there are traffic jams but...
Flix: Thank you for the information, we will inform our managers about it.
Client: Can I make a formal complaint? I had a similar situation last year.
Flix: Sure, you can send a complaint by email to info@flix.com. 
Client: thanks, I will definitely. But I really hope you do something about it this time...
Flix: yes, all complaints are addressed by our managers.
Client: great. They should not just read them, but do something about it. Will you inform me about the status?
Flix: We don't do that automatically, but you can call us and find out. You can find all the necessary info on our website. 
Client: Ok, I see.
Flix: Once again apologies.",Flix will inform their managers about it
Will Flix inform their managers about it?,"Will Flix inform their managers about it?: Simon: <file_photo>
Simon: It's funny and scary at the same time.
Simon: BTW it's so annoying that people can't see that such immigration policy reduces safety level for citizens of EU significantly
Charlie: This photo is great. It totally shows what do we all mean when we criticize EU policy. 
Charlie: Berlin has put concrete blocks around Christmas fair, Belgium has soldiers running armed around cities and Paris has mass demonstrations and car arsons happening all over the city.
Charlie: Poland though...
Charlie: One of the last countries unspoilt by uncontrolled migration and terrorism
Charlie: The question is - for how long...
Simon: I always say that there is advantage of the polish situation
Simon: I mean being economically delayed for few decades
Simon: Poland has a chance to develop in fast pace and at the same time has a position to avoid all the mistakes other western powers made.
Simon: The worst thing is that the country is being ostracized by defending it's values and interests. 
Charlie: Yup. And as long as there are people in Poland ready to defend that values, the country will be marginalized by every other nation.
Simon: I admire Poles.
Simon: I admire them for they will to fight.
Simon: They never give up.
Charlie: Different countries tried to eliminate them from the map.
Simon: I tell you, there will be time, when only Poland will have power to fight with internal problems of Europe.
Charlie: Maybe. But there is a risk that internal conflict will rip the country apart.
Simon: Let's hope not.
Charlie: Yup. To conclude: Christmas in Poland will be the best Christmas in Europe :D
Simon: I agree :)",I cannot be sure given this transcript
Will the client send a formal complaint to info@flix.com?,"Will the client send a formal complaint to info@flix.com?: Client: Good afternoon. I suggest you adjust the timetable to the reality on the Polish roads. P6 bus Radom - Warsaw, arriving from Cracow, 40 minutes delay.
Client: And it was not the first time, there was one hour delay not so long ago...
Flix: Hi Marta. We are very sorry that the bus arrived late, but they are operational delays which we have no control over. Apologies.
Client: But this happens too often. Why don't you consider rearranging the timetable??
Client: I was waiting at the station from 17.10, hoping to get the bus at 17.25. It arrived at 18.10. One hour waiting.
Client: It hardly ever happens that the bus arrives on time. The timetable is too optimistic. I understand there are traffic jams but...
Flix: Thank you for the information, we will inform our managers about it.
Client: Can I make a formal complaint? I had a similar situation last year.
Flix: Sure, you can send a complaint by email to info@flix.com. 
Client: thanks, I will definitely. But I really hope you do something about it this time...
Flix: yes, all complaints are addressed by our managers.
Client: great. They should not just read them, but do something about it. Will you inform me about the status?
Flix: We don't do that automatically, but you can call us and find out. You can find all the necessary info on our website. 
Client: Ok, I see.
Flix: Once again apologies.",Client will send a formal complaint to info@flix.com.
